kernel,invocations_baseline,invocations_mod,total_ms_baseline,total_ms_mod,mean_ms_baseline,mean_ms_mod,pct_of_gpu_time_baseline,pct_of_gpu_time_mod,registers_per_thread_baseline,registers_per_thread_mod,total_ms_change_pct
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L1013,120.0,120,3436.559,3440.336,28.638,28.669,11.709,11.666,255.0,255,0.11
"rte_lw_2stream_solve_CUDA_(FluxLW<Float32, CuDeviceArray<Float32, (int)2, (int)1>>, FluxLW<Float32, CuDeviceArray<Float3",6.0,6,2909.1,2939.38,484.85,489.897,9.912,9.967,255.0,255,1.041
"rte_lw_2stream_solve_CUDA_(FluxLW<Float32, CuDeviceArray<Float32, (int)2, (int)1>>, FluxLW<Float32, CuDeviceArray<Float3",6.0,6,2779.052,2830.495,463.175,471.749,9.469,9.598,255.0,255,1.851
"rte_sw_2stream_solve_CUDA_(FluxSW<Float32, CuDeviceArray<Float32, (int)2, (int)1>>, FluxSW<Float32, CuDeviceArray<Float3",6.0,6,2569.306,2595.345,428.218,432.558,8.754,8.8,255.0,255,1.013
"rte_sw_2stream_solve_CUDA_(FluxSW<Float32, CuDeviceArray<Float32, (int)2, (int)1>>, FluxSW<Float32, CuDeviceArray<Float3",6.0,6,2450.347,2495.669,408.391,415.945,8.349,8.462,255.0,255,1.85
copyto_foreach__NVTX,25080.0,25080,867.109,864.437,0.035,0.034,2.954,2.931,56.0,56,-0.308
run_field_matrix_solver__FILE_ClimaCore_jl_src_MatrixFields_field_matrix_solver_jl_L375,13440.0,13440,781.333,781.047,0.058,0.058,2.662,2.648,30.0,30,-0.037
horizontal_tracer_advection_tendency__NVTX,2880.0,2880,558.34,558.295,0.194,0.194,1.902,1.893,126.0,126,-0.008
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L970,120.0,120,486.305,486.898,4.053,4.057,1.657,1.651,255.0,255,0.122
prep_hyperdiffusion_tendency__NVTX,1680.0,1680,457.808,457.075,0.273,0.272,1.56,1.55,168.0,168,-0.16
viscous_sponge_tendency__NVTX,7200.0,7200,455.846,455.648,0.063,0.063,1.553,1.545,186.0,186,-0.043
apply_hyperdiffusion_tendency__NVTX,2880.0,2880,417.79,417.869,0.145,0.145,1.423,1.417,165.0,165,0.019
_FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L226,3360.0,3360,301.82,301.594,0.09,0.09,1.028,1.023,118.0,118,-0.075
set_prognostic_edmf_precomputed_quantities_environment__NVTX,2880.0,2880,224.914,224.577,0.078,0.078,0.766,0.762,92.0,92,-0.15
_FILE_ClimaAtmos_jl_src_prognostic_equations_implicit_manual_sparse_jacobian_jl_L1584,1440.0,1440,218.175,218.07,0.152,0.151,0.743,0.739,102.0,102,-0.048
set_cloud_fraction__NVTX,240.0,240,203.214,199.734,0.847,0.832,0.692,0.677,84.0,84,-1.712
set_implicit_precomputed_quantities__NVTX,5760.0,5760,199.967,199.194,0.035,0.035,0.681,0.675,32.0,32,-0.387
explicit_vertical_advection_tendency__NVTX,3120.0,3120,187.039,186.975,0.06,0.06,0.637,0.634,104.0,104,-0.034
materialized_mixing_length__FILE_ClimaAtmos_jl_src_parameterized_tendencies_microphysics_cloud_fraction_jl_L214,360.0,360,186.136,186.343,0.517,0.518,0.634,0.632,92.0,92,0.111
set_sgs_moments_and_cloud_fraction__NVTX,240.0,240,185.472,185.771,0.773,0.774,0.632,0.63,214.0,214,0.162
